 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,23908,2,2,70,184,35,35,35.0,0.0,92,92,92.0,0.0,10624.05889,167.3080141,7969.333333,13758.27614,23856,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,40,83.65400703,83.65400703,35,92,57.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,72.25,35.0,92.0,64,0,0,0,0,0,0,2,70,2,184,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,105986,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18.87041685,105986.0,0.0,105986,105986,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9.435208424,9.435208424,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,245,130,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53891,33560,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,357.568534,59.59475566,33560.0,0.0,33560,33560,33560,33560.0,0.0,33560,33560,0,0.0,0.0,0,0,0,0,0,0,40,0,59.59475566,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,509,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,185804,1,1,49,65,49,49,49.0,0.0,65,65,65.0,0.0,613.5497621,10.76403091,185804.0,0.0,185804,185804,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,5.382015457,5.382015457,49,65,54.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,81.5,49.0,65.0,20,0,0,0,0,0,0,1,49,1,65,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23768,1,1,52,114,52,52,52.0,0.0,114,114,114.0,0.0,6984.180411,84.14675194,23768.0,0.0,23768,23768,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,42.07337597,42.07337597,52,114,72.66666667,35.79571669,1281.333333,0,0,0,0,0,0,0,0,1,109.0,52.0,114.0,20,0,0,0,0,0,0,1,52,1,114,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,81016707,2,2,86,213,45,41,43.0,2.828427125,122,91,106.5,21.92031022,3.690596805,0.049372533,27000000.0,46700000.0,81000000,23312,81000000,81000000.0,0.0,81000000,81000000,81000000,81000000.0,0.0,81000000,81000000,0,0,0,0,64,64,0.024686266,0.024686266,41,122,68.0,36.85105155,1358.0,0,0,0,0,0,0,0,0,1,85.0,43.0,106.5,64,0,0,0,0,0,0,2,86,2,213,-1,-1,1,32,31161.0,0.0,31161,31161,81000000.0,0.0,81000000,81000000,BENIGN
443,556042,13,11,865,5501,230,0,66.53846154,83.11198809,1973,0,500.0909091,737.8429988,11448.77545,43.16220717,24175.73913,43562.40735,144878,2,556042,46336.83333,57243.15781,144878,4,439473,43947.3,62316.94104,185544,2,0,0,0,0,272,232,23.37952888,19.78267829,0,1973,254.64,528.9349267,279772.1567,0,0,0,1,0,0,0,0,0,265.25,66.53846154,500.0909091,272,0,0,0,0,0,0,13,865,11,5501,8192,254,12,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,235,2,2,64,276,32,32,32.0,0.0,138,138,138.0,0.0,1446808.511,17021.2766,78.33333333,92.55448846,182,4,49,49.0,0.0,49,49,4,4.0,0.0,4,4,0,0,0,0,64,64,8510.638298,8510.638298,32,138,74.4,58.0585911,3370.8,0,0,0,0,0,0,0,0,1,93.0,32.0,138.0,64,0,0,0,0,0,0,2,64,2,276,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,115490518,20,16,1434,637,799,0,71.7,206.6527981,469,0,39.8125,121.8809358,17.93220808,0.311713902,3299729.086,4675298.547,10000000,4,115000000,6078448.316,4887097.206,10000000,4,111000000,7377875.133,4579663.462,10000000,341,0,0,0,0,648,520,0.17317439,0.138539512,0,799,55.97297297,170.4964135,29069.02703,0,0,0,1,0,0,0,0,0,57.52777778,71.7,39.8125,648,0,0,0,0,0,0,20,1434,16,637,29200,353,4,32,54661.0,60610.71486,237409,36227,10000000.0,15495.72344,10000000,9959911,BENIGN
53,218,2,2,72,338,36,36,36.0,0.0,169,169,169.0,0.0,1880733.945,18348.62385,72.66666667,84.73684755,167,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,40,40,9174.311927,9174.311927,36,169,89.2,72.84710015,5306.7,0,0,0,0,0,0,0,0,1,111.5,36.0,169.0,40,0,0,0,0,0,0,2,72,2,338,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
